Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,8/20/2019 4:00,7717.25,7752,7655.5,7668,414176,,,
NQ=F,8/21/2019 4:00,7655,7765.75,7652.25,7750.25,344352,,,
NQ=F,8/22/2019 4:00,7756,7782.25,7654,7711.25,487622,,,
NQ=F,8/23/2019 4:00,7705.75,7762,7447.75,7504.5,763864,,,
NQ=F,8/26/2019 4:00,7435,7626,7353.25,7590.5,617907,,,
NQ=F,8/27/2019 4:00,7591.5,7648.5,7537,7562.75,520966,,,
NQ=F,8/28/2019 4:00,7564,7605.75,7504.25,7599.25,480975,,,
NQ=F,8/29/2019 4:00,7582.25,7730.25,7548.5,7712,447668,,,
NQ=F,8/30/2019 4:00,7704.25,7770.5,7646,7690.75,450746,,,
NQ=F,9/3/2019 4:00,7628.25,7695.5,7580.75,7617.5,643037,,,
NQ=F,9/4/2019 4:00,7614.25,7730,7608.5,7722.75,399672,,,
NQ=F,9/5/2019 4:00,7722,7886.75,7717.25,7855.5,478413,,,
NQ=F,9/6/2019 4:00,7853.5,7895,7838.25,7857.75,356484,,,
NQ=F,9/9/2019 4:00,7857,7887,7798.5,7830.75,372953,,,
NQ=F,9/10/2019 4:00,7834,7857.75,7744.25,7815,446533,,,
NQ=F,9/11/2019 4:00,7818.5,7905,7786.5,7889.75,383871,,,
NQ=F,9/12/2019 4:00,7893.25,7982.75,7886.75,7921.5,448979,,,
NQ=F,9/13/2019 4:00,7916.25,7958.5,7881.75,7886,243852,,,
NQ=F,9/16/2019 4:00,7856.75,7873.25,7776.25,7856.5,199321,,,
NQ=F,9/17/2019 4:00,7864,7897.5,7828,7890.25,147539,,,
NQ=F,9/18/2019 4:00,7890.75,7906.75,7790,7894.25,122281,,,
NQ=F,9/19/2019 4:00,7898.75,7951,7830.5,7896.25,69135,,,
NQ=F,9/20/2019 4:00,7899.5,7932.75,7890.75,7899.47998,425158,,,
NQ=F,9/23/2019 4:00,7839.25,7897.5,7807.75,7850.5,348180,,,
NQ=F,9/24/2019 4:00,7869,7904.75,7701.75,7735.25,609261,,,
